ablation,display_name,metric,n_pairs,full_model_advantage_mean,full_model_advantage_std,test,assumption,statistic,p_value,paired_cohens_dz
no_coordination_constraint,No coordination constraint,network_utility,30,0.1461032526418084,0.03944628766771791,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,20.286838617334542,1.115730349406476e-18,3.703853043727015
no_energy,No energy term,raw_episode_reward,30,39.18833703703704,10.35918689740559,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,20.72009743513363,6.281159348021388e-19,3.7829549196425423
no_energy,No energy term,event_recall,30,0.03813271111730688,0.010626590747486769,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,19.654606594044907,2.6311128919547096e-18,3.5884237968160595
no_energy,No energy term,total_energy_consumption,30,0.923333333333354,0.1987316101518981,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,25.447914117767457,2.1921811462262106e-21,4.646132201251805
no_energy,No energy term,mean_aoi,30,0.9534143518518519,0.4602320200394069,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,11.346593118699417,3.4866959757048812e-12,2.0715950006481876
no_energy,No energy term,redundant_sampling,30,7.788888888888887,4.309379713152789,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,9.89968493452769,8.291974198691223e-11,1.8074269169449566
no_energy,No energy term,network_utility,30,0.03953264540303423,0.011512952375514958,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,18.807444814194543,8.629021307120833e-18,3.4337539245893036
no_neighbor_signal,No neighbor signal,raw_episode_reward,30,-40.468159259259245,18.24092803166881,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-12.151423243667063,6.677204407788944e-13,-2.2185362054496816
no_neighbor_signal,No neighbor signal,event_recall,30,-0.04668496347632424,0.027655294969438058,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-9.24611638405792,3.7878359796872087e-10,-1.688102170955541
no_neighbor_signal,No neighbor signal,total_energy_consumption,30,-1.3694444444444824,0.41580562373606617,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-18.03909256283859,2.6378487164737632e-17,-3.2934726378634585
no_neighbor_signal,No neighbor signal,mean_aoi,30,-1.2910108024691358,0.655215780896188,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-10.792104816645539,1.1387513344459778e-11,-1.9703597503456387
no_neighbor_signal,No neighbor signal,redundant_sampling,30,1.6444444444444442,4.2371584974865515,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,2.125715423014175,0.04216678546390003,0.3881007626738333
no_neighbor_signal,No neighbor signal,network_utility,30,-0.05104455673172869,0.030057346107209386,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,-9.301637962346273,3.322010862860231e-10,-1.6982389779078144
no_redundancy,No redundancy penalty,raw_episode_reward,30,118.13585925925932,19.69608800225403,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,32.852043999370295,1.6977163634766592e-24,5.997935186202448
no_redundancy,No redundancy penalty,event_recall,30,0.09434269937202026,0.02545890823965773,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,20.29687372905142,1.1008481026133635e-18,3.705685196078487
no_redundancy,No redundancy penalty,total_energy_consumption,30,3.5561111111111896,0.5460846939585074,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,35.66776901273767,1.6535039961677213e-25,6.5120138880533975
no_redundancy,No redundancy penalty,mean_aoi,30,1.1363908179012345,0.5743716893880995,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,10.836656760874604,1.034010312468831e-11,1.9784937852906295
no_redundancy,No redundancy penalty,redundant_sampling,30,48.41111111111112,8.00128501812375,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,33.13949887972162,1.3270817051471014e-24,6.0504170269469055
no_redundancy,No redundancy penalty,network_utility,30,0.09556539716334579,0.026848747314707485,two-sided one-sample t-test on paired seed differences,paired environment-seed differences are approximately normal,19.495629769896766,3.276872003392227e-18,3.5593987325805694
