policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction,ablation,model_path
Full QMIX,102,1004,volatile,coordinated,123.99999999999996,0.5345454545454545,0.46545454545454545,14.1458400000001,27.778055887166204,0.01868846934936192,8.25954861111111,37.0,59.0,67.0,0.8914930555555556,0.4765435606060606,279,339,0,60,813,339,0.2942708333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1005,volatile,coordinated,71.31766666666671,0.5042016806722689,0.4957983193277311,12.69584,27.612860050191575,0.02366723494237178,9.26388888888889,40.0,59.0,59.0,0.952835648148148,0.48042133520074687,250,311,0,61,841,311,0.2699652777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1006,volatile,coordinated,24.224666666666625,0.44357976653696496,0.556420233463035,13.845840000000063,27.73702749384593,0.0006342553954301958,7.506076388888889,32.0,58.0,48.0,0.890335648148148,0.3949348789450929,273,322,0,49,830,322,0.2795138888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1007,volatile,coordinated,15.020000000000024,0.4435146443514644,0.5564853556485356,13.545840000000052,27.847617605125972,0.007357481944651205,7.7890625,29.0,51.0,60.0,0.8932291666666666,0.3961602161785216,267,319,0,52,833,319,0.2769097222222222,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1008,volatile,coordinated,-35.160999999999994,0.3915343915343915,0.6084656084656085,11.895839999999978,27.8133897866608,0.018510198839803996,7.946180555555555,32.0,49.0,57.0,0.8949652777777778,0.35040968547912993,234,269,0,35,883,269,0.23350694444444445,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1009,volatile,coordinated,-14.116666666666664,0.4039408866995074,0.5960591133004927,12.84584000000004,27.585351449882772,0.012991358712205699,7.170138888888889,29.450000000000045,51.0,47.0,0.9265046296296295,0.3742531016237913,253,298,0,45,854,298,0.2586805555555556,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1010,volatile,coordinated,67.81566666666667,0.5167464114832536,0.4832535885167464,13.19584000000007,27.87536673639651,0.025418606546103603,7.887152777777778,33.0,55.0,65.0,0.9363425925925927,0.4838516746411484,260,309,0,49,843,309,0.2682291666666667,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1011,volatile,coordinated,19.516666666666673,0.4479638009049774,0.5520361990950227,13.245840000000015,27.8041058670549,0.012485235042954124,9.284722222222221,40.0,57.0,48.0,0.8799189814814814,0.3941718514328808,261,294,0,33,858,294,0.2552083333333333,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1012,volatile,coordinated,-6.684333333333368,0.417910447761194,0.582089552238806,13.995840000000037,27.719253047701116,0.04957726012828603,8.81076388888889,41.0,62.0,62.0,0.8825231481481483,0.3688156440022112,276,319,0,43,833,319,0.2769097222222222,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1013,volatile,coordinated,2.0500000000000034,0.44508670520231214,0.5549132947976878,13.345840000000099,27.505443767934835,0.024271030623527347,9.270833333333334,39.450000000000045,62.0,43.0,0.9288194444444444,0.4134051862556198,263,295,0,32,857,295,0.2560763888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
