ablation,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction
full,1028,0.49448123620309054,0.5055187637969095,13.729173333333414,27.621479294635346,0.0703097381707059,9.44386574074074,37.666666666666664,62.333333333333336,53.333333333333336,0.9656635802469135,0.4775755508543864,22.422444444444448,0.2708333333333333
full,1029,0.4792626728110599,0.5207373271889401,13.879173333333403,27.800474848912,0.0448707849177776,8.447337962962964,36.333333333333336,61.333333333333336,55.333333333333336,0.9214891975308642,0.44180694231097456,40.40688888888888,0.28935185185185186
full,1030,0.48484848484848486,0.5151515151515151,14.779173333333425,27.873481980284083,0.029650514504980616,8.513599537037036,37.30000000000003,66.66666666666667,62.666666666666664,0.9207175925925926,0.44654255852172514,44.96666666666664,0.3113425925925926
no_agent_id,1001,0.5027502750275027,0.49724972497249725,13.279173333333356,27.869978979177933,0.016822454685387872,6.960358796296297,28.666666666666668,46.0,69.33333333333333,0.9134837962962964,0.4592921097665322,102.315,0.28530092592592593
no_agent_id,1002,0.5855181023720349,0.414481897627965,14.479173333333451,28.1960693899323,0.02596458313285971,6.323206018518519,26.666666666666668,60.666666666666664,67.66666666666667,0.9633487654320989,0.564067774078698,171.34311111111109,0.3020833333333333
no_agent_id,1003,0.5499999999999999,0.45,12.429173333333337,28.045742792782573,0.04008675474006016,6.435185185185186,25.0,45.0,44.0,0.9681712962962963,0.5326244212962963,68.55066666666666,0.24247685185185186
no_agent_id,1004,0.5442424242424243,0.45575757575757575,13.845840000000104,27.778055887166204,0.03204063645974744,7.184606481481481,30.333333333333332,60.0,67.0,0.9033564814814815,0.4917048961840629,139.19599999999997,0.2835648148148148
no_agent_id,1005,0.561624649859944,0.438375350140056,12.112506666666649,27.612860050191575,0.040333901609038394,8.162326388888888,36.0,62.666666666666664,63.0,0.9574652777777777,0.5377369118943873,121.17466666666668,0.25752314814814814
no_agent_id,1006,0.4643320363164721,0.5356679636835279,13.012506666666711,27.73702749384593,0.010971764898526746,6.0946180555555545,25.150000000000016,46.0,47.666666666666664,0.9006558641975309,0.41828493538934525,49.4942222222222,0.2630208333333333
no_agent_id,1007,0.48535564853556484,0.5146443514644351,12.662506666666696,27.847617605125972,0.009416903443216308,6.94212962962963,26.633333333333365,53.333333333333336,58.666666666666664,0.9048996913580248,0.439307944625239,57.61744444444444,0.25434027777777773
