policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction
Upgraded QMIX,2006,0.6282051282051282,0.3717948717948718,12.179173333333361,27.58783026978388,0.11264567313707219,4.344039351851852,15.0,36.333333333333336,47.333333333333336,0.9863040123456789,0.6196358618233618,116.59988888888893,0.24131944444444445
Upgraded QMIX,2007,0.5671406003159557,0.43285939968404424,12.829173333333385,27.41924582964383,0.1078155527531194,5.459780092592593,23.150000000000016,56.666666666666664,61.666666666666664,0.9514853395061729,0.5396841722251478,118.3457777777778,0.25144675925925924
Upgraded QMIX,2008,0.5364145658263305,0.46358543417366943,13.179173333333386,28.01746824300685,0.04538981726478838,4.390625,15.666666666666666,33.333333333333336,70.33333333333333,0.9363425925925926,0.5022742893453677,107.10166666666665,0.26244212962962965
Upgraded QMIX,2009,0.5856573705179283,0.4143426294820716,14.112506666666713,27.717380271135582,0.012265585189398957,5.0428240740740735,23.333333333333332,44.333333333333336,71.33333333333333,0.9363425925925926,0.548374787885495,159.636,0.28327546296296297
Upgraded QMIX,2010,0.49074074074074076,0.5092592592592593,14.462506666666727,27.926349226582474,0.022180784407814846,7.421585648148148,35.0,50.666666666666664,83.0,0.84008487654321,0.41227250752552974,86.90544444444457,0.2916666666666667
Upgraded QMIX,2011,0.5462653288740245,0.45373467112597554,13.962506666666757,27.666708871963724,0.02859040559372997,5.486400462962963,23.81666666666668,47.333333333333336,64.33333333333333,0.9155092592592594,0.5001187084520419,165.98766666666668,0.2821180555555556
Upgraded QMIX,2012,0.5221088435374149,0.477891156462585,12.445840000000024,27.79175907576096,0.059029225020219005,6.047743055555556,26.81666666666668,51.333333333333336,61.333333333333336,0.9559220679012346,0.49910241874527594,63.12355555555556,0.24971064814814814
Upgraded QMIX,2013,0.51010101010101,0.4898989898989899,12.912506666666706,28.034650414776124,0.032051983551332125,7.0610532407407405,32.0,51.333333333333336,63.666666666666664,0.9039351851851851,0.4610982510288066,97.48799999999994,0.25434027777777773
Upgraded QMIX,2014,0.5674300254452926,0.43256997455470736,13.97917333333344,27.917458064176174,0.058122045247137356,3.9435763888888893,13.666666666666666,41.666666666666664,65.0,0.9184992283950617,0.5212051467816416,153.98011111111123,0.2679398148148148
Upgraded QMIX,2015,0.6185897435897436,0.3814102564102564,13.329173333333372,27.583281782233133,0.10129904430107341,4.853877314814815,19.150000000000016,41.666666666666664,67.33333333333333,0.9765625000000001,0.604093864998813,152.97133333333332,0.2638888888888889
Upgraded QMIX,2016,0.6555555555555556,0.3444444444444444,12.562506666666756,27.81326396103613,0.2674167823861284,4.3423032407407405,15.666666666666666,28.333333333333332,61.0,0.9745370370370369,0.6388810809817754,185.2376666666668,0.2586805555555556
Upgraded QMIX,2017,0.49348230912476715,0.5065176908752328,12.062506666666712,27.75036285078093,0.23590904073265903,5.085648148148148,18.666666666666668,44.0,56.333333333333336,0.9307484567901235,0.45930861611145596,34.318555555555555,0.2378472222222222
Upgraded QMIX,2018,0.5693693693693693,0.4306306306306307,12.145840000000002,28.008425830135355,0.025444853182330918,5.5740740740740735,22.81666666666668,43.666666666666664,58.666666666666664,0.9505208333333334,0.5412021396396396,96.18499999999996,0.24363425925925927
Upgraded QMIX,2019,0.5551515151515152,0.4448484848484848,13.779173333333441,27.551457754924428,0.04111391503359162,4.924479166666667,19.666666666666668,40.666666666666664,63.0,0.9329668209876543,0.5179370089786756,154.13244444444447,0.2800925925925926
Upgraded QMIX,2020,0.5295138888888888,0.47048611111111116,15.479173333333415,27.36269375896255,0.031644119581414464,6.041666666666667,29.81666666666668,53.666666666666664,88.66666666666667,0.8751929012345677,0.4634437090084876,174.123888888889,0.3333333333333333
Upgraded QMIX,2021,0.573791348600509,0.4262086513994911,13.279173333333409,27.56603775881028,0.04208485029529236,4.099826388888888,14.333333333333334,29.666666666666668,61.666666666666664,0.9336419753086421,0.5357205965507493,177.48722222222224,0.26128472222222227
Upgraded QMIX,2022,0.5606060606060606,0.43939393939393945,13.829173333333392,27.904592827016245,0.054874334795862595,7.320891203703703,35.816666666666684,61.666666666666664,67.0,0.9339313271604938,0.523568397266314,181.5012222222222,0.2867476851851852
Upgraded QMIX,2023,0.5953565505804311,0.4046434494195688,12.979173333333343,27.61509607983241,0.024218405563091388,5.046875,19.333333333333332,36.666666666666664,59.666666666666664,0.980131172839506,0.5835281539831706,126.93944444444436,0.2609953703703704
Upgraded QMIX,2024,0.655608214849921,0.344391785150079,12.645840000000073,28.015527087936658,0.14276804072269356,4.689814814814815,16.666666666666668,34.666666666666664,62.333333333333336,0.9704861111111112,0.6362568383944767,191.1236666666666,0.25636574074074076
Upgraded QMIX,2025,0.5751173708920189,0.4248826291079812,14.529173333333413,27.669576750162246,0.09777122486630364,5.209780092592593,23.81666666666668,50.666666666666664,76.0,0.9372106481481483,0.5390349911971831,170.5693333333335,0.2957175925925926
Upgraded QMIX,2026,0.48504273504273504,0.5149572649572649,13.145840000000035,27.640208593707953,0.026963515227868006,5.24537037037037,21.666666666666668,38.333333333333336,68.0,0.9055748456790123,0.43925280448717946,84.42722222222221,0.26967592592592593
Upgraded QMIX,2027,0.5819209039548022,0.4180790960451977,12.729173333333378,27.79103091221663,0.12756921292680437,4.700810185185185,18.0,45.0,59.0,0.9736689814814815,0.5666032381251308,101.58833333333332,0.2511574074074074
Upgraded QMIX,2028,0.5174953959484346,0.4825046040515654,12.112506666666699,27.91245521842166,0.1984249107597883,6.055844907407407,24.48333333333335,47.0,49.666666666666664,0.9434799382716049,0.48826286576631883,61.72488888888887,0.23929398148148148
Upgraded QMIX,2029,0.5376344086021505,0.4623655913978495,11.979173333333344,27.551238467374578,0.052010846532134884,4.9609375,17.666666666666668,36.0,44.333333333333336,0.9384645061728395,0.5045419943913447,82.5931111111111,0.23292824074074073
Upgraded QMIX,2030,0.5322033898305084,0.46779661016949153,13.879173333333407,27.893781227201316,0.028059911428400974,6.6235532407407405,29.666666666666668,49.0,82.0,0.9249614197530863,0.49227806549487346,125.68655555555551,0.2881944444444444
