policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction
Published QMIX,101.0,2029,volatile,coordinated,-108.31766666666668,0.3118279569892473,0.6881720430107527,15.845840000000116,27.551238467374578,0.03519270006684082,10.491319444444445,42.450000000000045,68.0,64.0,0.8752893518518519,0.2729396903624054,313,367,0,54,785,367,0.3185763888888889
Published QMIX,101.0,2030,volatile,coordinated,19.305666666666653,0.45084745762711864,0.5491525423728814,15.29584000000012,27.893781227201316,0.029158837459601995,10.309027777777779,42.450000000000045,61.0,91.0,0.9007523148148147,0.4061018910860012,302,400,0,98,752,400,0.3472222222222222
Published QMIX,102.0,2001,volatile,coordinated,24.027333333333324,0.4928571428571429,0.5071428571428571,11.695839999999983,27.789725214018684,0.03458869536939589,8.137152777777779,32.0,60.0,49.0,0.945601851851852,0.4660466269841271,230,261,0,31,891,261,0.2265625
Published QMIX,102.0,2002,volatile,coordinated,71.757,0.5523255813953488,0.4476744186046512,13.395840000000122,27.67998710577186,0.036041216452708046,6.348958333333333,26.0,49.0,59.0,0.9496527777777778,0.5245175226098191,264,315,0,51,837,315,0.2734375
Published QMIX,102.0,2003,volatile,coordinated,33.06966666666666,0.5588235294117647,0.4411764705882353,11.49583999999999,27.90966007891191,0.12323545715141325,7.659722222222222,30.450000000000045,53.0,38.0,0.9858217592592593,0.5509003948801743,226,256,0,30,896,256,0.2222222222222222
Published QMIX,102.0,2004,volatile,coordinated,9.663666666666682,0.44751381215469616,0.5524861878453038,11.795840000000041,27.609434271665254,0.17493490128255787,9.674479166666666,36.0,51.0,53.0,0.9424189814814815,0.4217455110497238,232,272,0,40,880,272,0.2361111111111111
Published QMIX,102.0,2005,volatile,coordinated,74.00133333333329,0.5113122171945701,0.4886877828054299,13.445840000000063,27.493943092734902,0.022467820000610046,7.703125,33.450000000000045,60.0,53.0,0.9351851851851851,0.47817161052455165,265,311,0,46,841,311,0.2699652777777778
Published QMIX,102.0,2006,volatile,coordinated,22.314999999999984,0.5,0.5,12.845840000000033,27.58783026978388,0.03480400599518113,5.857638888888889,23.0,47.0,64.0,0.9479166666666666,0.4739583333333333,253,310,0,57,842,310,0.2690972222222222
Published QMIX,102.0,2007,volatile,coordinated,48.26066666666663,0.4834123222748815,0.5165876777251185,13.39584000000006,27.419245829643835,0.023806927695339014,6.927951388888889,29.450000000000045,61.0,59.0,0.9302662037037036,0.44970214586624535,264,308,0,44,844,308,0.2673611111111111
Published QMIX,102.0,2008,volatile,coordinated,19.875333333333337,0.4495798319327731,0.5504201680672269,13.245840000000054,28.01746824300685,0.024965318576387965,7.315972222222222,30.0,54.0,71.0,0.8995949074074073,0.40443972727980076,261,309,0,48,843,309,0.2682291666666667
Published QMIX,102.0,2009,volatile,coordinated,80.34133333333344,0.5059760956175299,0.4940239043824701,14.595840000000063,27.717380271135582,0.004760748736854886,8.315972222222221,38.0,68.0,61.0,0.8995949074074073,0.45517351888741325,288,330,0,42,822,330,0.2864583333333333
Published QMIX,102.0,2010,volatile,coordinated,23.728666666666584,0.4351851851851852,0.5648148148148149,14.195840000000068,27.926349226582474,0.018134764017606688,8.585069444444445,39.0,65.0,73.0,0.8269675925925926,0.35988404492455417,280,338,0,58,814,338,0.2934027777777778
Published QMIX,102.0,2011,volatile,coordinated,73.35166666666659,0.4682274247491639,0.5317725752508361,14.195840000000073,27.666708871963724,0.016901546949728622,10.171875,43.0,62.0,62.0,0.8946759259259258,0.41891180478136997,280,334,0,54,818,334,0.2899305555555556
Published QMIX,102.0,2012,volatile,coordinated,-14.948333333333354,0.42346938775510207,0.5765306122448979,12.995840000000069,27.791759075760957,0.02454190376977343,9.32204861111111,39.0,66.0,55.0,0.9267939814814814,0.39246887991307633,256,304,0,48,848,304,0.2638888888888889
Published QMIX,102.0,2013,volatile,coordinated,38.18833333333334,0.44696969696969696,0.553030303030303,12.695840000000038,28.034650414776124,0.020292259872433157,9.332465277777779,39.0,53.0,52.0,0.8891782407407407,0.39743572881593714,250,293,0,43,859,293,0.2543402777777778
Published QMIX,102.0,2014,volatile,coordinated,46.91433333333337,0.4618320610687023,0.5381679389312977,14.54584000000011,27.917458064176174,0.03168252385728233,6.671875,29.0,64.0,67.0,0.9039351851851853,0.41746624964659323,287,329,0,42,823,329,0.2855902777777778
Published QMIX,102.0,2015,volatile,coordinated,82.56766666666671,0.5288461538461539,0.47115384615384615,13.895840000000048,27.583281782233133,0.05103675367787008,7.672743055555555,33.0,60.0,59.0,0.960648148148148,0.5080350783475783,274,319,0,45,833,319,0.2769097222222222
Published QMIX,102.0,2016,volatile,coordinated,124.01066666666668,0.5904761904761905,0.4095238095238095,13.695840000000077,27.813263961036135,0.034247259356572315,5.947048611111111,23.0,48.0,67.0,0.9580439814814814,0.5657021604938272,270,336,0,66,816,336,0.2916666666666667
Published QMIX,102.0,2017,volatile,coordinated,-42.34133333333339,0.39106145251396646,0.6089385474860336,13.145840000000039,27.75036285078093,0.059391387519708884,7.524305555555555,31.0,62.0,53.0,0.9016203703703705,0.35258897165321745,259,305,0,46,847,305,0.2647569444444444
Published QMIX,102.0,2018,volatile,coordinated,40.94566666666668,0.4918918918918919,0.508108108108108,12.745840000000038,28.00842583013536,0.019954625257327194,7.887152777777778,32.0,58.0,54.0,0.9380787037037037,0.46143330830830837,251,293,0,42,859,293,0.2543402777777778
Published QMIX,102.0,2019,volatile,coordinated,56.967999999999925,0.4690909090909091,0.5309090909090909,14.09584000000013,27.551457754924428,0.015834539943919458,7.918402777777778,35.0,56.0,62.0,0.8984375,0.42144886363636364,278,338,0,60,814,338,0.2934027777777778
Published QMIX,102.0,2020,volatile,coordinated,60.63100000000001,0.4479166666666667,0.5520833333333333,15.795840000000094,27.36269375896255,0.03164411958141454,8.21267361111111,38.0,62.0,75.0,0.8463541666666666,0.3790961371527778,312,384,0,72,768,384,0.3333333333333333
Published QMIX,102.0,2021,volatile,coordinated,78.42766666666664,0.48091603053435117,0.5190839694656488,13.74584000000007,27.56603775881028,0.016411873782754462,7.928819444444445,35.0,62.0,59.0,0.902488425925926,0.43402115139949116,271,321,0,50,831,321,0.2786458333333333
Published QMIX,102.0,2022,volatile,coordinated,112.85666666666664,0.5064935064935064,0.49350649350649356,14.445840000000077,27.904592827016245,0.02098497852370274,8.64236111111111,38.0,62.0,71.0,0.918113425925926,0.4650184884559885,285,353,0,68,799,353,0.3064236111111111
Published QMIX,102.0,2023,volatile,coordinated,45.96533333333331,0.5024875621890548,0.49751243781094523,13.74584000000001,27.61509607983241,0.017514709846044023,7.743923611111111,32.0,59.0,59.0,0.9438657407407407,0.4742807950985812,271,326,0,55,826,326,0.2829861111111111
Published QMIX,102.0,2024,volatile,coordinated,129.91066666666677,0.5924170616113744,0.4075829383886256,14.295840000000108,28.015527087936654,0.023212629620035015,7.297743055555555,31.450000000000045,63.0,71.0,0.9597800925925927,0.5685901022467966,282,338,0,56,814,338,0.2934027777777778
Published QMIX,102.0,2025,volatile,coordinated,70.49233333333329,0.4859154929577465,0.5140845070422535,14.995840000000072,27.669576750162246,0.027928713661327754,8.485243055555555,41.0,64.0,71.0,0.9030671296296295,0.4388143094679186,296,346,0,50,806,346,0.3003472222222222
Published QMIX,102.0,2026,volatile,coordinated,-8.505666666666704,0.41346153846153844,0.5865384615384616,13.445840000000093,27.640208593707953,0.02008155462053259,8.008680555555555,32.450000000000045,65.0,69.0,0.8718171296296295,0.3604628516737891,265,326,0,61,826,326,0.2829861111111111
Published QMIX,102.0,2027,volatile,coordinated,51.65266666666666,0.5254237288135594,0.47457627118644063,13.695840000000075,27.79103091221663,0.022860192496590055,6.946180555555555,30.450000000000045,55.0,66.0,0.9554398148148149,0.5020107501569366,270,326,0,56,826,326,0.2829861111111111
Published QMIX,102.0,2028,volatile,coordinated,-23.473999999999986,0.39779005524861877,0.6022099447513812,13.09584000000003,27.91245521842166,0.021138927123621778,8.57986111111111,36.0,51.0,45.0,0.921875,0.3667127071823204,258,302,0,44,850,302,0.2621527777777778
Published QMIX,102.0,2029,volatile,coordinated,-41.80766666666672,0.3709677419354839,0.6290322580645161,13.245840000000081,27.551238467374578,0.03159923052720025,9.238715277777779,36.0,56.0,35.0,0.8891782407407409,0.3298564441457587,261,284,0,23,868,284,0.2465277777777778
Published QMIX,102.0,2030,volatile,coordinated,82.31499999999994,0.49830508474576274,0.5016949152542373,13.79584000000011,27.893781227201316,0.028059911428400974,7.561631944444445,32.0,51.0,86.0,0.9114583333333334,0.45418432203389836,272,346,0,74,806,346,0.3003472222222222
Published QMIX,103.0,2001,volatile,coordinated,1.8923333333333292,0.4357142857142857,0.5642857142857143,11.445839999999963,27.789725214018684,0.024703399035146453,8.484375,33.0,52.0,39.0,0.9421296296296298,0.4104993386243387,225,238,0,13,914,238,0.2065972222222222
Published QMIX,103.0,2002,volatile,coordinated,76.3386666666666,0.5581395348837209,0.4418604651162791,13.295840000000139,27.67998710577186,0.02822899927846051,7.145833333333333,29.0,50.0,59.0,0.9545717592592593,0.5327842377260982,262,309,0,47,843,309,0.2682291666666667
Published QMIX,103.0,2003,volatile,coordinated,40.94466666666668,0.5882352941176471,0.4117647058823529,11.645840000000025,27.90966007891191,0.14823545715141326,7.283854166666667,29.0,51.0,50.0,0.9971064814814815,0.5865332244008715,229,259,0,30,893,259,0.2248263888888889
Published QMIX,103.0,2004,volatile,coordinated,11.258333333333352,0.44751381215469616,0.5524861878453038,11.395840000000048,27.609434271665254,0.24224083629478838,9.449652777777779,35.450000000000045,67.0,51.0,0.9386574074074073,0.42006215469613256,224,259,0,35,893,259,0.2248263888888889
Published QMIX,103.0,2005,volatile,coordinated,105.23533333333339,0.5384615384615384,0.46153846153846156,13.395840000000092,27.493943092734902,0.022467820000610043,7.203125,29.0,52.0,48.0,0.9594907407407407,0.5166488603988604,264,309,0,45,843,309,0.2682291666666667
Published QMIX,103.0,2006,volatile,coordinated,54.29000000000002,0.5448717948717948,0.4551282051282052,12.745840000000037,27.58783026978388,0.03150195874551988,6.098090277777778,25.0,43.0,62.0,0.9661458333333334,0.5264256143162392,251,295,0,44,857,295,0.2560763888888889
Published QMIX,103.0,2007,volatile,coordinated,68.27633333333331,0.4976303317535545,0.5023696682464456,13.095840000000058,27.419245829643835,0.023806927695339045,7.723090277777778,33.450000000000045,64.0,44.0,0.9360532407407407,0.4658084847288046,258,296,0,38,856,296,0.2569444444444444
Published QMIX,103.0,2008,volatile,coordinated,22.865333333333336,0.4495798319327731,0.5504201680672269,13.095840000000049,28.01746824300685,0.01500025045028844,8.022569444444445,31.0,52.0,66.0,0.9013310185185185,0.40522024782135074,258,301,0,43,851,301,0.2612847222222222
Published QMIX,103.0,2009,volatile,coordinated,72.27366666666668,0.49800796812749004,0.50199203187251,13.79584000000004,27.717380271135582,0.004760748736854894,7.626736111111111,34.0,58.0,68.0,0.9024884259259258,0.4494464272539471,272,320,0,48,832,320,0.2777777777777778
Published QMIX,103.0,2010,volatile,coordinated,39.63900000000002,0.4506172839506173,0.5493827160493827,14.445840000000079,27.926349226582474,0.01813476401760669,9.11545138888889,41.0,72.0,76.0,0.8272569444444444,0.37277627743484226,285,335,0,50,817,335,0.2907986111111111
Published QMIX,103.0,2011,volatile,coordinated,100.06500000000011,0.49498327759197325,0.5050167224080268,14.045840000000078,27.666708871963724,0.016901546949728615,9.086805555555555,39.0,57.0,71.0,0.9019097222222222,0.4464302303976217,277,334,0,57,818,334,0.2899305555555556
Published QMIX,103.0,2012,volatile,coordinated,-9.579000000000018,0.42857142857142855,0.5714285714285714,12.645840000000044,27.791759075760957,0.022009014989939325,9.33767361111111,41.0,66.0,57.0,0.9348958333333334,0.40066964285714285,249,299,0,50,853,299,0.2595486111111111
Published QMIX,103.0,2013,volatile,coordinated,34.597666666666655,0.4431818181818182,0.5568181818181819,12.44584000000001,28.034650414776124,0.0316818453907817,9.135416666666666,37.0,57.0,57.0,0.8964120370370371,0.39727351641414144,245,292,0,47,860,292,0.2534722222222222
Published QMIX,103.0,2014,volatile,coordinated,64.996,0.4770992366412214,0.5229007633587786,14.295840000000114,27.917458064176174,0.032274254099265806,7.121527777777778,30.0,63.0,62.0,0.9088541666666666,0.43361362913486007,282,322,0,40,830,322,0.2795138888888889
Published QMIX,103.0,2015,volatile,coordinated,89.48500000000003,0.5336538461538461,0.46634615384615385,13.495840000000072,27.583281782233133,0.1742792492568506,7.630208333333333,32.0,55.0,55.0,0.9626736111111112,0.5137344751602564,266,311,0,45,841,311,0.2699652777777778
Published QMIX,103.0,2016,volatile,coordinated,114.25599999999989,0.5761904761904761,0.42380952380952386,13.395840000000108,27.813263961036135,0.18424725935657232,6.668402777777778,27.450000000000045,51.0,67.0,0.9592013888888888,0.552682705026455,264,324,0,60,828,324,0.28125
Published QMIX,103.0,2017,volatile,coordinated,-36.69566666666668,0.39664804469273746,0.6033519553072626,12.695840000000008,27.75036285078093,0.0339975898190176,6.834201388888889,25.0,47.0,58.0,0.914351851851852,0.3626758741982206,250,302,0,52,850,302,0.2621527777777778
Published QMIX,103.0,2018,volatile,coordinated,24.723333333333336,0.4648648648648649,0.5351351351351351,12.295840000000034,28.00842583013536,0.019954625257327177,9.160590277777779,37.0,67.0,50.0,0.9308449074074076,0.4327170920920922,242,266,0,24,886,266,0.2309027777777778
