policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Extended QMIX Replica Mean,243,126.49611111111108,0.6260162601626016,11.345840000000054,4.349826388888889,47.333333333333336,0.9746334876543209,223.0,249.0,26.0,0.21614583333333334
Extended QMIX Replica Mean,244,175.72399999999996,0.5712603062426383,12.42917333333334,6.127025462962963,59.333333333333336,0.9334490740740743,244.66666666666666,287.6666666666667,43.0,0.24971064814814814
Extended QMIX Replica Mean,245,174.66033333333334,0.7083333333333334,11.345840000000129,4.721643518518518,46.0,0.9936342592592592,223.0,257.6666666666667,34.666666666666664,0.22366898148148148
Extended QMIX Replica Mean,246,155.41933333333327,0.6536312849162011,11.029173333333341,6.105902777777778,50.333333333333336,0.9681712962962964,216.66666666666666,252.33333333333334,35.666666666666664,0.21903935185185186
Extended QMIX Replica Mean,247,198.92866666666666,0.5909604519774011,13.562506666666765,3.5778356481481484,72.66666666666667,0.951388888888889,267.3333333333333,333.0,65.66666666666667,0.2890625
Extended QMIX Replica Mean,248,114.7846666666667,0.5333333333333333,11.262506666666631,6.853587962962963,52.0,0.9253472222222222,221.33333333333334,257.3333333333333,36.0,0.22337962962962965
Extended QMIX Replica Mean,249,126.3447777777778,0.5824915824915825,11.029173333333326,6.7251157407407405,39.0,0.9517746913580246,216.66666666666666,252.66666666666666,36.0,0.21932870370370372
Extended QMIX Replica Mean,250,183.73466666666675,0.6033591731266149,12.012506666666667,5.526909722222221,67.33333333333333,0.9542824074074074,236.33333333333334,289.6666666666667,53.333333333333336,0.25144675925925924
Greedy,231,-147.84066666666743,0.379746835443038,19.89584000000022,7.765625,193.0,0.9178240740740742,394.0,764.0,370.0,0.6631944444444444
Greedy,232,-121.99200000000042,0.42771084337349397,19.5458400000002,8.580729166666666,188.0,0.9548611111111112,387.0,748.0,361.0,0.6493055555555556
Greedy,233,-257.23633333333277,0.2697095435684647,19.39584000000019,8.69357638888889,186.0,0.8356481481481481,384.0,741.0,357.0,0.6432291666666666
Greedy,234,-117.02033333333314,0.4072398190045249,18.845840000000166,9.52951388888889,184.0,0.925925925925926,373.0,725.0,352.0,0.6293402777777778
Greedy,235,-117.89866666666727,0.4007936507936508,19.695840000000207,8.261284722222221,185.0,0.898726851851852,390.0,744.0,354.0,0.6458333333333334
Greedy,236,-190.52700000000058,0.31756756756756754,18.895840000000167,9.672743055555555,182.0,0.9166666666666666,374.0,722.0,348.0,0.6267361111111112
Greedy,237,-146.3343333333338,0.3745173745173745,19.645840000000206,8.4140625,189.0,0.894675925925926,389.0,750.0,361.0,0.6510416666666666
Greedy,238,-159.38499999999988,0.3631578947368421,18.99584000000017,9.527777777777779,183.0,0.8993055555555556,376.0,727.0,351.0,0.6310763888888888
Greedy,239,-222.6799999999997,0.2807017543859649,19.245840000000186,9.1796875,180.0,0.8723958333333334,381.0,726.0,345.0,0.6302083333333334
Greedy,240,-228.65566666666538,0.2996742671009772,19.14584000000018,9.237847222222221,184.0,0.8188657407407407,379.0,736.0,357.0,0.6388888888888888
Greedy,241,-186.25100000000035,0.3275862068965517,19.4958400000002,8.553819444444445,184.0,0.9305555555555556,386.0,746.0,360.0,0.6475694444444444
Greedy,242,-255.0279999999988,0.19047619047619047,19.045840000000176,9.572916666666666,181.0,0.8854166666666666,377.0,728.0,351.0,0.6319444444444444
Greedy,243,-195.5313333333332,0.31097560975609756,19.295840000000187,8.921006944444445,186.0,0.9129050925925927,382.0,739.0,357.0,0.6414930555555556
Greedy,244,-219.94000000000082,0.31095406360424027,19.295840000000187,8.90451388888889,185.0,0.8385416666666666,382.0,734.0,352.0,0.6371527777777778
Greedy,245,-86.45599999999993,0.46875,19.34584000000019,9.153645833333334,179.0,0.9644097222222222,383.0,729.0,346.0,0.6328125
Greedy,246,-102.87033333333383,0.43575418994413406,19.295840000000187,9.000868055555555,181.0,0.9502314814814815,382.0,734.0,352.0,0.6371527777777778
Greedy,247,-189.53800000000055,0.33220338983050846,19.345840000000187,8.864583333333334,186.0,0.8862847222222222,383.0,733.0,350.0,0.6362847222222222
Greedy,248,-271.59699999999884,0.2571428571428571,19.345840000000187,8.76736111111111,188.0,0.8194444444444444,383.0,747.0,364.0,0.6484375
Greedy,249,-221.9779999999999,0.2878787878787879,19.045840000000176,9.473090277777779,182.0,0.8741319444444444,377.0,726.0,349.0,0.6302083333333334
Greedy,250,-173.5056666666672,0.35271317829457366,19.295840000000187,8.895833333333334,186.0,0.8726851851851851,382.0,733.0,351.0,0.6362847222222222
QMIX Majority Ensemble,231,167.55166666666665,0.5991561181434599,12.395840000000009,4.723958333333333,58.0,0.9710648148148149,244.0,292.0,48.0,0.2534722222222222
QMIX Majority Ensemble,232,115.19333333333327,0.6144578313253012,11.645840000000021,4.5703125,49.0,0.9768518518518517,229.0,264.0,35.0,0.22916666666666666
QMIX Majority Ensemble,233,131.1623333333333,0.5601659751037344,11.945840000000016,4.997395833333333,57.0,0.9343171296296298,235.0,277.0,42.0,0.2404513888888889
QMIX Majority Ensemble,234,159.19133333333346,0.6063348416289592,11.545839999999998,4.835069444444445,60.0,0.9620949074074073,227.0,279.0,52.0,0.2421875
QMIX Majority Ensemble,235,264.0570000000001,0.6865079365079365,13.245840000000078,4.151041666666667,70.0,0.984375,261.0,312.0,51.0,0.2708333333333333
QMIX Majority Ensemble,236,142.087,0.6824324324324325,10.295839999999908,4.967881944444445,48.0,0.9965277777777778,202.0,237.0,35.0,0.20572916666666666
QMIX Majority Ensemble,237,217.1326666666666,0.637065637065637,13.14584000000001,4.535590277777778,72.0,0.964988425925926,259.0,326.0,67.0,0.2829861111111111
QMIX Majority Ensemble,238,141.17899999999995,0.6105263157894737,11.445839999999976,4.910590277777778,51.0,0.9618055555555556,225.0,257.0,32.0,0.2230902777777778
