policy,comparator,metric,n_pairs,advantage_mean,advantage_std,test,assumption,statistic,p_value,paired_cohens_dz,statistically_supported_0.05,practical_threshold_5pct_comparator,absolute_practically_meaningful,practical_outcome
IQL,Entropy Threshold,raw_episode_reward,30,-213.59751111111115,23.53854883623808,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-49.70237370045687,1.275577427045375e-29,-9.074370412430582,True,9.514033333333336,True,learned disadvantage
IQL,Entropy Threshold,event_recall,30,-0.24840309502085473,0.041714212011026194,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-32.61621685699302,2.0810695704900074e-24,-5.95487923768511,True,0.037401432370690484,True,learned disadvantage
IQL,Entropy Threshold,total_energy_consumption,30,-16.21277777777813,0.6296426544367145,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-141.03403011430035,1.0776969345217927e-42,-25.74917322315507,True,0.5943753333333345,True,learned disadvantage
IQL,Entropy Threshold,mean_aoi,30,-10.187085262345681,0.5763759091991173,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-96.80655114763958,5.776995305831903e-38,-17.674377259279943,True,0.2772511574074074,True,learned disadvantage
VDN,Entropy Threshold,raw_episode_reward,30,-180.7756666666667,23.83050840359782,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-41.54964250213784,2.146819085342705e-27,-7.585892151565429,True,9.514033333333336,True,learned disadvantage
VDN,Entropy Threshold,event_recall,30,-0.2138239741491013,0.04134433398352864,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-28.327028807266007,1.1004548635005762e-22,-5.171784221612752,True,0.037401432370690484,True,learned disadvantage
VDN,Entropy Threshold,total_energy_consumption,30,-12.74777777777806,0.5545308557575952,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-125.91265886211217,2.874876746533763e-41,-22.9884011780772,True,0.5943753333333345,True,learned disadvantage
VDN,Entropy Threshold,mean_aoi,30,-7.9670138888888875,0.6882489446545348,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-63.403122617089636,1.1661501126552476e-32,-11.575773491215326,True,0.2772511574074074,True,learned disadvantage
QMIX,Entropy Threshold,raw_episode_reward,30,-193.27087777777777,23.854695334258498,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-44.37651287697879,3.2751888808258424e-28,-8.102005708713254,True,9.514033333333336,True,learned disadvantage
QMIX,Entropy Threshold,event_recall,30,-0.2287165634040793,0.0415373336162571,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-30.159186963903892,1.8937723741365387e-23,-5.506289005381969,True,0.037401432370690484,True,learned disadvantage
QMIX,Entropy Threshold,total_energy_consumption,30,-13.483888888889188,0.5401235017940978,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-136.73595173707696,2.6407354481223982e-42,-24.96445506277826,True,0.5943753333333345,True,learned disadvantage
QMIX,Entropy Threshold,mean_aoi,30,-8.745611496913577,0.6125950207119878,two-sided one-sample t-test on paired differences,paired seed differences are approximately normal,-78.19470505112369,2.7592446196006677e-35,-14.276334611321198,True,0.2772511574074074,True,learned disadvantage
