policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Extended QMIX Replica Mean,4018,170.5796666666666,0.6368159203980099,12.479173333333412,4.060763888888888,54.666666666666664,0.9748263888888888,245.66666666666666,287.0,41.333333333333336,0.24913194444444445
Extended QMIX Replica Mean,4019,149.67733333333345,0.6205128205128205,11.162506666666658,5.679108796296297,55.0,0.9557291666666666,219.33333333333334,245.66666666666666,26.333333333333332,0.2132523148148148
Extended QMIX Replica Mean,4020,95.55733333333332,0.6578947368421053,9.862506666666656,4.80150462962963,38.666666666666664,0.9930555555555557,193.33333333333334,221.0,27.666666666666668,0.1918402777777778
Extended QMIX Replica Mean,4021,124.77066666666663,0.5923913043478262,11.312506666666643,5.2641782407407405,46.666666666666664,0.9577546296296298,222.33333333333334,252.0,29.666666666666668,0.21875
Extended QMIX Replica Mean,4022,128.87899999999993,0.6510067114093959,10.39583999999997,4.876736111111111,41.333333333333336,0.9904513888888888,204.0,241.33333333333334,37.333333333333336,0.20949074074074073
Extended QMIX Replica Mean,4023,144.2036666666667,0.5718157181571816,12.47917333333335,4.622106481481482,63.666666666666664,0.9354745370370369,245.66666666666666,284.3333333333333,38.666666666666664,0.24681712962962965
Extended QMIX Replica Mean,4024,175.51099999999994,0.569047619047619,13.612506666666727,3.7083333333333335,65.66666666666667,0.9305555555555557,268.3333333333333,321.0,52.666666666666664,0.2786458333333333
Extended QMIX Replica Mean,4025,111.10166666666662,0.6303854875283447,10.87917333333332,5.05005787037037,50.333333333333336,0.9745370370370371,213.66666666666666,244.33333333333334,30.666666666666668,0.2120949074074074
Extended QMIX Replica Mean,4026,130.4529999999999,0.6033519553072626,10.845839999999948,4.313078703703703,45.333333333333336,0.9817708333333334,213.0,251.66666666666666,38.666666666666664,0.21846064814814814
Extended QMIX Replica Mean,4027,184.72833333333327,0.624813153961136,13.195840000000075,3.5552662037037037,60.666666666666664,0.9586226851851851,260.0,301.0,41.0,0.26128472222222227
Extended QMIX Replica Mean,4028,159.8809999999999,0.6039755351681957,12.279173333333375,3.9684606481481484,52.0,0.9742476851851851,241.66666666666666,280.0,38.333333333333336,0.24305555555555555
Extended QMIX Replica Mean,4029,189.288888888889,0.603112840466926,11.795840000000085,6.773726851851852,63.666666666666664,0.9544753086419752,232.0,280.0,48.0,0.24305555555555555
Extended QMIX Replica Mean,4030,221.1443333333333,0.6245487364620939,13.095840000000065,4.427083333333333,69.66666666666667,0.9609375,258.0,307.3333333333333,49.333333333333336,0.2667824074074074
Greedy,4001,-189.13900000000055,0.3303964757709251,19.09584000000018,9.09548611111111,178.0,0.8819444444444444,378.0,729.0,351.0,0.6328125
Greedy,4002,-336.10133333333226,0.1762114537444934,19.4958400000002,8.29079861111111,186.0,0.8096064814814814,386.0,744.0,358.0,0.6458333333333334
Greedy,4003,-98.06833333333344,0.43455497382198954,19.39584000000019,8.909722222222221,184.0,0.9432870370370369,384.0,737.0,353.0,0.6397569444444444
Greedy,4004,-262.78699999999907,0.25868725868725867,19.345840000000187,9.019097222222221,180.0,0.8255208333333334,383.0,734.0,351.0,0.6371527777777778
