policy,environment_seed,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,raw_episode_reward,sample_action_fraction,samples_delivered,samples_requested,channel_blocks
Extended QMIX,216,0.6398305084745762,0.3601694915254237,12.312506666666698,27.32361408507136,0.06308337431225723,5.998842592592593,24.966666666666697,53.0,55.333333333333336,0.9652777777777778,0.6176141713747646,206.53866666666661,0.23842592592592593,242.33333333333334,274.6666666666667,32.333333333333336
Extended QMIX,217,0.5169082125603865,0.48309178743961345,13.579173333333403,28.049193411107996,0.025285824389334393,5.1001157407407405,22.0,40.333333333333336,62.333333333333336,0.8907214506172839,0.4604298063159778,151.25511111111112,0.2858796296296296,267.6666666666667,329.3333333333333,61.666666666666664
Extended QMIX,218,0.6463620981387478,0.35363790186125216,12.195840000000025,27.828259921270625,0.15644640133592677,5.600983796296297,24.333333333333332,44.666666666666664,51.333333333333336,0.9737654320987653,0.6294719793820893,175.6244444444445,0.23350694444444445,240.0,269.0,29.0
Extended QMIX,219,0.6341463414634146,0.3658536585365854,11.779173333333352,27.502366090802507,0.18751976149715666,6.836226851851852,29.450000000000045,57.0,45.0,0.9730902777777778,0.6170816395663957,172.9286666666666,0.2300347222222222,231.66666666666666,265.0,33.333333333333336
Extended QMIX,220,0.6540284360189573,0.3459715639810426,12.879173333333497,27.96253468956628,0.16703574247157113,4.227430555555555,14.666666666666666,25.0,63.333333333333336,0.9831211419753086,0.6429910113510034,187.8962222222223,0.25376157407407407,253.66666666666666,292.3333333333333,38.666666666666664
Extended QMIX,221,0.6118326118326118,0.38816738816738816,12.11250666666669,27.87188910352081,0.03247338495059965,4.632523148148148,15.0,25.666666666666668,53.666666666666664,0.9755015432098766,0.5968485282721394,171.44211111111113,0.2476851851851852,238.33333333333334,285.3333333333333,47.0
Extended QMIX,222,0.6113416320885201,0.3886583679114799,11.762506666666674,27.42557524730638,0.12961356448089556,6.8819444444444455,29.150000000000016,54.0,57.666666666666664,0.9564043209876543,0.5847028520567593,185.2654444444444,0.23148148148148148,231.33333333333334,266.6666666666667,35.333333333333336
Extended QMIX,223,0.5972222222222222,0.40277777777777773,11.129173333333341,27.78823108417696,0.21268696665929507,4.665798611111111,15.333333333333334,34.333333333333336,48.0,0.9519675925925927,0.5685362011316873,135.144,0.21701388888888887,218.66666666666666,250.0,31.333333333333332
Extended QMIX,224,0.6462585034013606,0.3537414965986394,11.995840000000008,28.08723978600349,0.10716799386017989,4.036168981481482,12.666666666666666,28.0,55.666666666666664,0.9890046296296297,0.6391546201814059,173.486,0.24508101851851852,236.0,282.3333333333333,46.333333333333336
Extended QMIX,225,0.5571205007824725,0.4428794992175274,11.845840000000015,27.77582209554403,0.14845833062845618,4.752893518518518,18.333333333333332,36.0,57.0,0.9519675925925927,0.5303606619138701,109.1996666666666,0.2332175925925926,233.0,268.6666666666667,35.666666666666664
Extended QMIX,226,0.5383141762452107,0.4616858237547892,10.012506666666573,27.863677478080206,0.2611075094782986,8.30324074074074,35.63333333333336,63.0,38.0,0.9293981481481483,0.5003081985241947,73.64033333333332,0.19502314814814814,196.33333333333334,224.66666666666666,28.333333333333332
Extended QMIX,227,0.5882352941176471,0.411764705882353,11.379173333333313,27.470396163705733,0.083646771619684,4.994212962962963,16.0,41.0,54.0,0.9612268518518517,0.565427559912854,114.1593333333333,0.22974537037037038,223.66666666666666,264.6666666666667,41.0
Extended QMIX,228,0.5117845117845118,0.48821548821548827,10.229173333333211,27.692085219615866,0.25003090798318467,6.323206018518519,24.48333333333335,39.333333333333336,37.666666666666664,0.9033564814814814,0.4623248300910337,78.29333333333336,0.19473379629629628,200.66666666666666,224.33333333333334,23.666666666666668
Extended QMIX,229,0.6085271317829457,0.3914728682170543,12.562506666666764,27.916316505075454,0.15339749703226635,4.859664351851852,16.81666666666668,31.666666666666668,50.0,0.9573688271604938,0.5825908878840079,200.83288888888887,0.25,247.33333333333334,288.0,40.666666666666664
Extended QMIX,230,0.6394557823129252,0.3605442176870748,10.812506666666593,27.74166292968646,0.13773779505206266,5.365451388888888,16.666666666666668,29.333333333333332,49.666666666666664,0.9661458333333334,0.6178193499622072,167.45333333333323,0.21267361111111113,212.33333333333334,245.0,32.666666666666664
Fixed Interval,211,0.07471264367816093,0.9252873563218391,4.995839999999857,27.58635165301026,0.6700685147246224,5.4375,11.0,11.0,0.0,0.8133680555555556,0.060768877713920824,-210.0880000000004,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,212,0.0743801652892562,0.9256198347107438,4.995839999999857,27.919764761552692,0.6698988882376119,5.4375,11.0,11.0,0.0,0.7265625,0.054041838842975205,-293.5879999999993,0.08333333333333333,96.0,96.0,0.0
Fixed Interval,213,0.06372549019607843,0.9362745098039216,4.995839999999857,27.724887803272157,0.6699229363498653,5.4375,11.0,11.0,0.0,0.7482638888888888,0.047683483115468404,-258.83799999999997,0.08333333333333333,96.0,96.0,0.0
